기준월,지점ID,지점명,담당자ID,담당자명,병원ID,병원명,품목ID,품목명,처방수량,처방금액
2025-01,B001,서울1지점,R0002,송도석,H00084,강남의원,P001,아세트론정,4,2239854
2025-01,B001,서울1지점,R0002,송도석,H00084,강남의원,P003,네오프라졸,6,1779204
2025-01,B001,서울1지점,R0002,송도석,H00084,강남의원,P004,카디오엑스,8,873645
2025-01,B001,서울1지점,R0002,송도석,H00084,강남의원,P005,글루코밸런스,8,2027894
2025-01,B001,서울1지점,R0002,송도석,H00006,경기정형외과3,P002,리바코프캡슐,7,3126793
2025-01,B001,서울1지점,R0002,송도석,H00006,경기정형외과3,P004,카디오엑스,9,1880843
2025-01,B001,서울1지점,R0002,송도석,H00006,경기정형외과3,P005,글루코밸런스,8,2585543
2025-01,B001,서울1지점,R0002,송도석,H00180,송도내과8,P002,리바코프캡슐,7,2302031
2025-01,B001,서울1지점,R0002,송도석,H00180,송도내과8,P003,네오프라졸,4,1383317
2025-01,B001,서울1지점,R0002,송도석,H00180,송도내과8,P004,카디오엑스,8,1778538
2025-01,B001,서울1지점,R0002,송도석,H00155,삼성내과,P001,아세트론정,22,3731815
2025-01,B001,서울1지점,R0002,송도석,H00155,삼성내과,P002,리바코프캡슐,5,1351212
2025-01,B001,서울1지점,R0002,송도석,H00155,삼성내과,P004,카디오엑스,7,918821
2025-01,B001,서울1지점,R0002,송도석,H00155,삼성내과,P005,글루코밸런스,5,1697147
2025-01,B001,서울1지점,R0002,송도석,H00071,미래정형외과,P001,아세트론정,2,1001103
2025-01,B001,서울1지점,R0002,송도석,H00071,미래정형외과,P003,네오프라졸,15,3208525
2025-01,B001,서울1지점,R0002,송도석,H00071,미래정형외과,P004,카디오엑스,4,1284196
2025-01,B001,서울1지점,R0002,송도석,H00071,미래정형외과,P005,글루코밸런스,8,1513124
2025-01,B001,서울1지점,R0002,송도석,H00066,강남약국,P002,리바코프캡슐,15,3645057
2025-01,B001,서울1지점,R0002,송도석,H00066,강남약국,P003,네오프라졸,8,2137840
2025-01,B001,서울1지점,R0002,송도석,H00066,강남약국,P004,카디오엑스,2,934331
2025-01,B001,서울1지점,R0002,송도석,H00066,강남약국,P005,글루코밸런스,7,1663976
2025-01,B001,서울1지점,R0002,송도석,H00030,부산한의원,P001,아세트론정,1,1015663
2025-01,B001,서울1지점,R0002,송도석,H00030,부산한의원,P002,리바코프캡슐,1,555670
2025-01,B001,서울1지점,R0002,송도석,H00030,부산한의원,P003,네오프라졸,13,1853798
2025-01,B001,서울1지점,R0002,송도석,H00030,부산한의원,P004,카디오엑스,4,1651449
2025-01,B001,서울1지점,R0002,송도석,H00030,부산한의원,P005,글루코밸런스,1,511605
2025-01,B001,서울1지점,R0002,송도석,H00131,성모가정의학과,P001,아세트론정,4,686293
2025-01,B001,서울1지점,R0002,송도석,H00131,성모가정의학과,P002,리바코프캡슐,9,1607774
2025-01,B001,서울1지점,R0002,송도석,H00131,성모가정의학과,P003,네오프라졸,8,1454719
2025-01,B001,서울1지점,R0002,송도석,H00131,성모가정의학과,P005,글루코밸런스,2,144570
2025-01,B001,서울1지점,R0002,송도석,H00152,드림가정의학과,P001,아세트론정,3,1340434
2025-01,B001,서울1지점,R0002,송도석,H00152,드림가정의학과,P002,리바코프캡슐,33,6585219
2025-01,B001,서울1지점,R0002,송도석,H00152,드림가정의학과,P005,글루코밸런스,10,2369165
2025-01,B001,서울1지점,R0002,송도석,H00074,우리정형외과,P003,네오프라졸,3,811508
2025-01,B001,서울1지점,R0002,송도석,H00074,우리정형외과,P004,카디오엑스,4,1180105
2025-01,B001,서울1지점,R0002,송도석,H00074,우리정형외과,P005,글루코밸런스,9,2318015
2025-01,B001,서울1지점,R0002,송도석,H00135,온누리피부과,P001,아세트론정,6,2020134
2025-01,B001,서울1지점,R0002,송도석,H00135,온누리피부과,P002,리바코프캡슐,1,509713
2025-01,B001,서울1지점,R0002,송도석,H00135,온누리피부과,P004,카디오엑스,2,649325
2025-01,B001,서울1지점,R0002,송도석,H00135,온누리피부과,P005,글루코밸런스,4,440187
2025-01,B001,서울1지점,R0002,송도석,H00019,송도의료원8,P001,아세트론정,1,1158162
2025-01,B001,서울1지점,R0002,송도석,H00019,송도의료원8,P002,리바코프캡슐,13,3864787
2025-01,B001,서울1지점,R0002,송도석,H00019,송도의료원8,P005,글루코밸런스,6,1059492
2025-01,B001,서울1지점,R0003,박준현,H00116,부산내과,P002,리바코프캡슐,10,2672504
2025-01,B001,서울1지점,R0003,박준현,H00116,부산내과,P003,네오프라졸,27,6241553
2025-01,B001,서울1지점,R0003,박준현,H00116,부산내과,P004,카디오엑스,1,394517
2025-01,B001,서울1지점,R0003,박준현,H00116,부산내과,P005,글루코밸런스,14,2226958
2025-01,B001,서울1지점,R0003,박준현,H00134,서울의원,P001,아세트론정,2,476337
2025-01,B001,서울1지점,R0003,박준현,H00134,서울의원,P002,리바코프캡슐,8,2158769
2025-01,B001,서울1지점,R0003,박준현,H00134,서울의원,P003,네오프라졸,0,700976
2025-01,B001,서울1지점,R0003,박준현,H00134,서울의원,P004,카디오엑스,5,692771
2025-01,B001,서울1지점,R0003,박준현,H00164,드림한의원,P001,아세트론정,3,790110
2025-01,B001,서울1지점,R0003,박준현,H00164,드림한의원,P002,리바코프캡슐,9,4086832
2025-01,B001,서울1지점,R0003,박준현,H00164,드림한의원,P003,네오프라졸,26,4706006
